epoch,train_loss,val_loss,val_mae_K,val_rmse_K,lr
110,0.001794,0.001535,0.8717,1.2084,4.28e-04
111,0.001857,0.002411,1.3513,1.6879,4.20e-04
112,0.001764,0.003719,2.0155,2.5392,4.12e-04
113,0.001797,0.002470,1.3768,1.7721,4.05e-04
114,0.001899,0.001726,0.9715,1.3767,3.97e-04
115,0.001656,0.001151,0.6578,0.9782,3.89e-04
116,0.001692,0.002265,1.2564,1.7443,3.82e-04
117,0.001731,0.001088,0.6207,0.9708,3.74e-04
118,0.001607,0.001301,0.7426,1.0536,3.67e-04
119,0.001639,0.001206,0.6902,0.9917,3.59e-04
120,0.001563,0.001655,0.9410,1.2458,3.52e-04
121,0.001524,0.001839,1.0471,1.2951,3.45e-04
122,0.001559,0.001083,0.6198,0.9379,3.37e-04
123,0.001552,0.001323,0.7526,1.0969,3.30e-04
124,0.001499,0.001303,0.7460,1.0304,3.23e-04
125,0.001596,0.001165,0.6682,0.9498,3.16e-04
126,0.001418,0.001859,1.0457,1.4374,3.08e-04
127,0.001445,0.001843,1.0373,1.4280,3.01e-04
128,0.001429,0.003269,1.7856,2.2836,2.94e-04
129,0.001455,0.001256,0.7182,1.0205,2.87e-04
130,0.001448,0.001383,0.7908,1.0806,2.80e-04
131,0.001403,0.001484,0.8474,1.1277,2.73e-04
132,0.001330,0.001101,0.6337,0.8932,2.67e-04
133,0.001428,0.001073,0.6144,0.9261,2.60e-04
134,0.001408,0.001663,0.9448,1.2563,2.53e-04
135,0.001424,0.002222,1.2408,1.6567,2.46e-04
136,0.001311,0.000890,0.5118,0.8080,2.40e-04
137,0.001436,0.001777,1.0084,1.3064,2.33e-04
138,0.001418,0.001661,0.9430,1.2605,2.27e-04
139,0.001332,0.001075,0.6169,0.9053,2.20e-04
140,0.001275,0.001319,0.7550,1.0396,2.14e-04
141,0.001314,0.002256,1.2644,1.6330,2.08e-04
142,0.001253,0.000841,0.4826,0.7942,2.02e-04
143,0.001214,0.001529,0.8742,1.1325,1.96e-04
144,0.001264,0.001053,0.6052,0.8882,1.89e-04
145,0.001249,0.001502,0.8563,1.1545,1.84e-04
146,0.001259,0.000923,0.5311,0.8163,1.78e-04
147,0.001268,0.001358,0.7774,1.0567,1.72e-04
148,0.001161,0.001801,1.0251,1.2873,1.66e-04
149,0.001188,0.000974,0.5612,0.8230,1.61e-04
150,0.001265,0.001278,0.7348,0.9712,1.55e-04
151,0.001290,0.001022,0.5884,0.8551,1.50e-04
152,0.001139,0.000870,0.4992,0.8116,1.44e-04
153,0.001161,0.000799,0.4608,0.7379,1.39e-04
154,0.001200,0.001008,0.5798,0.8529,1.34e-04
155,0.001153,0.000913,0.5268,0.7788,1.29e-04
156,0.001090,0.001044,0.6024,0.8431,1.24e-04
157,0.001128,0.000780,0.4497,0.7355,1.19e-04
158,0.001111,0.000913,0.5250,0.8176,1.14e-04
159,0.001103,0.001183,0.6806,0.9239,1.09e-04
160,0.001170,0.000883,0.5090,0.7770,1.05e-04
161,0.001051,0.000826,0.4750,0.7712,1.00e-04
162,0.001026,0.000824,0.4752,0.7486,9.56e-05
163,0.001071,0.000984,0.5668,0.8319,9.13e-05
164,0.001043,0.000928,0.5337,0.8203,8.71e-05
165,0.001097,0.000920,0.5304,0.7958,8.29e-05
166,0.001138,0.000875,0.5037,0.7859,7.89e-05
167,0.001018,0.000699,0.4033,0.6880,7.50e-05
168,0.001064,0.000918,0.5289,0.8002,7.12e-05
169,0.000971,0.001078,0.6205,0.8804,6.75e-05
170,0.001011,0.000809,0.4671,0.7320,6.40e-05
171,0.000995,0.000665,0.3839,0.6609,6.05e-05
172,0.001020,0.000806,0.4654,0.7251,5.71e-05
173,0.000983,0.000699,0.4034,0.6865,5.39e-05
174,0.001020,0.000742,0.4281,0.7099,5.07e-05
175,0.000974,0.000726,0.4186,0.6974,4.77e-05
176,0.001028,0.000779,0.4497,0.7230,4.48e-05
177,0.000979,0.000903,0.5202,0.7918,4.20e-05
178,0.001016,0.000704,0.4057,0.6968,3.93e-05
179,0.001036,0.000761,0.4388,0.7202,3.67e-05
180,0.000920,0.000666,0.3838,0.6688,3.42e-05
181,0.000944,0.000885,0.5089,0.8040,3.19e-05
182,0.000978,0.000697,0.4019,0.6876,2.97e-05
183,0.000942,0.000685,0.3955,0.6727,2.75e-05
184,0.000980,0.000691,0.3983,0.6830,2.56e-05
185,0.000981,0.000704,0.4052,0.7075,2.37e-05
186,0.000992,0.000742,0.4279,0.7152,2.19e-05
187,0.000937,0.000681,0.3920,0.6879,2.03e-05
188,0.000987,0.000689,0.3974,0.6841,1.88e-05
189,0.000941,0.000718,0.4146,0.6899,1.74e-05
190,0.000945,0.000702,0.4045,0.6937,1.61e-05
191,0.000944,0.000744,0.4280,0.7313,1.49e-05
192,0.000923,0.000752,0.4324,0.7298,1.39e-05
193,0.000917,0.000686,0.3952,0.6823,1.30e-05
194,0.000931,0.000676,0.3894,0.6819,1.22e-05
195,0.000924,0.000678,0.3905,0.6863,1.15e-05
196,0.000925,0.000694,0.3996,0.6988,1.10e-05
197,0.000895,0.000695,0.4009,0.6869,1.05e-05
198,0.000869,0.000732,0.4217,0.7062,1.02e-05
199,0.000911,0.000658,0.3793,0.6624,1.01e-05
200,0.000929,0.000757,0.4366,0.7162,1.00e-05
