Model,MAE (K),RMSE (K),MaxErr (K),R2,SSIM,HotMAE (K),HDR (%),Time (ms),Params (M)
RBF,7.403166770935059,15.637496948242188,119.89132690429688,0.6762957572937012,0.7863476425971674,9.712038050174714,55.23623069240162,3.2822999500012884,0.0
MLP,7.063000679016113,10.140718460083008,72.53048706054688,0.8638707995414734,0.9060486305684226,6.699463649988174,91.04677048083484,0.5251060800003415,27.93
U-Net,0.5971433520317078,1.1577101945877075,32.56488037109375,0.998225748538971,0.9944164942818182,0.6245428391993045,98.11247006424631,1.81525077999936,1.93
Tiny ViT,0.40755602717399597,0.7177492380142212,25.664764404296875,0.9993180632591248,0.9959698243231895,0.5000478237271309,98.73181310471459,3.1942397399996025,0.75
FNO-lite,3.244028091430664,7.24183988571167,113.16452026367188,0.9305756688117981,0.9345697419185739,5.419365729808807,87.9197099245636,1.9788881399995262,1.18
